Name,Ratings,ReviewCount,Location,Cuisine,Cost (for two)
BouganVilla,4.2,,"Ghatkopar East, Mumbai","North Indian, Oriental, Italian, Continental, BBQ, Desserts, Beverages","1,500"
Blossom- The Fusion Spot,4.1,,"Ghatkopar East, Mumbai","North Indian, Fast Food, Street Food, Continental, Italian, Chinese, Beverages",800
Family Tree,4.1,,"Ghatkopar East, Mumbai","Chinese, North Indian, European, Maharashtrian, Desserts, Beverages","1,300"
Laxman's Om Vada Pav,4.1,,"Ghatkopar East, Mumbai","Street Food, Sandwich",200
Pure Milk And Snack Centre,4.1,,"Ghatkopar East, Mumbai","South Indian, Fast Food, Street Food, Beverages, Desserts",500
R Steam Hot,4.1,,"Ghatkopar East, Mumbai","Fast Food, Rolls, Beverages, Desserts",700
Heroesss,4,852,"Ghatkopar East, Mumbai","North Indian, Chinese, Asian, Thai, Bar Food, BBQ","1,100"
Fullfills,4,,"Ghatkopar East, Mumbai","Italian, Fast Food, Chinese",700
Heroes,4,,"Ghatkopar East, Mumbai","North Indian, Chinese, Asian, Thai, Bar Food, BBQ","1,100"
Hotel Popular,4,,"Ghatkopar East, Mumbai","South Indian, North Indian, Street Food, Fast Food, Biryani, Beverages",450
Rollercoaster Icecream Works,4,,"Ghatkopar East, Mumbai",Desserts,150
CIBO 29,3.9,,"Ghatkopar East, Mumbai","Salad, Arabian, Beverages, Mexican, Italian, Continental",600
Falooda World,3.9,,"Ghatkopar East, Mumbai",Desserts,200
Guru Krupa,3.9,,"Ghatkopar East, Mumbai","South Indian, North Indian, Chinese, Street Food, Desserts",600
Kick Cafe,3.9,,"Ghatkopar East, Mumbai","Chinese, Fast Food, Beverages",500
Pavilion,3.9,,"Ghatkopar East, Mumbai","Chinese, North Indian",600
Persian Indigo,3.9,,"Ghatkopar East, Mumbai","North Indian, Continental",800
Saikrupa Amritsar Kulcha,3.9,,"Ghatkopar East, Mumbai",Street Food,200
Scoop Gelateria,3.9,,"Ghatkopar East, Mumbai","Ice Cream, Beverages",200
Sweet Secret,3.9,,"Ghatkopar East, Mumbai","Bakery, Desserts, Beverages, Fast Food",400
Then & Now,3.9,,"Ghatkopar East, Mumbai","Mexican, Chinese, North Indian, Fast Food, Italian, Beverages",800
A-1 Ice Cream,3.8,,"Ghatkopar East, Mumbai","Desserts, Ice Cream",200
Chocday,3.8,,"Ghatkopar East, Mumbai","Bakery, Desserts, Beverages",500
Dairy Don,3.8,,"Ghatkopar East, Mumbai","Ice Cream, Desserts",250
JK Chocolate World And Spicy Fastfood Corner,3.8,,"Ghatkopar East, Mumbai","Fast Food, Desserts, Beverages, Paan, Sandwich, Rolls",300
Monica Family Restaurant & Bar,3.8,,"Ghatkopar East, Mumbai","North Indian, Chinese, Seafood, Mughlai, Beverages, Sandwich",850
Pizzas Etc,3.8,,"Ghatkopar East, Mumbai","Fast Food, Mexican, Beverages, Pizza",300
Waffle World,3.8,,"Ghatkopar East, Mumbai","Desserts, Beverages",400
Backbenchers Cafeteria,3.7,,"Ghatkopar East, Mumbai","Fast Food, Beverages, Desserts",300
Bakes & Creams,3.7,,"Ghatkopar East, Mumbai","Bakery, Desserts",300
Creme Borne,3.7,,"Ghatkopar East, Mumbai","Desserts, Ice Cream, Beverages",400
Lalta Pav Bhaji,3.7,,"Ghatkopar East, Mumbai","Fast Food, Street Food, Chinese, Desserts, Beverages",350
Mi Favorito,3.7,,"Ghatkopar East, Mumbai","Chinese, Italian, Fast Food, Juices",500
Mr Singh's Tandoori Hut by RPD,3.7,,"Ghatkopar East, Mumbai","North Indian, Beverages",500
Om Sai Sagar Sandwich Centre,3.7,,"Ghatkopar East, Mumbai","Fast Food, Sandwich, Street Food",250
Sai Prasad,3.7,,"Ghatkopar East, Mumbai","North Indian, Chinese, Mughlai, Seafood, BBQ, Maharashtrian",500
Sai Swad Dosa,3.7,,"Ghatkopar East, Mumbai",South Indian,350
Seven Spices,3.7,,"Ghatkopar East, Mumbai","Chinese, Fast Food, Street Food",300
Shiv Prasad,3.7,,"Ghatkopar East, Mumbai","North Indian, Chinese, Mughlai, Seafood, Biryani",550
The Fusion Bistro,3.7,,"Ghatkopar East, Mumbai","Fast Food, Chinese",500
The Thecha Dhapatta Company,3.7,,"Ghatkopar East, Mumbai","Maharashtrian, Beverages",400
Torta Bella,3.7,,"Ghatkopar East, Mumbai","Bakery, Desserts",350
Trio,3.7,,"Ghatkopar East, Mumbai","North Indian, Chinese, Mughlai, Thai, Desserts, Seafood, Beverages","1,200"
Granville Greens,3.6,,"Ghatkopar East, Mumbai","North Indian, South Indian, Chinese, Italian, Continental, Street Food, Beverages",850
Krishna Cafe,3.6,,"Ghatkopar East, Mumbai","Fast Food, Beverages",600
Manna Restaurant,3.6,,"Ghatkopar East, Mumbai","North Indian, Mughlai, Chinese",300
Nukkad House,3.6,,"Ghatkopar East, Mumbai","Street Food, Fast Food, North Indian",200
Sai Leela,3.6,,"Ghatkopar East, Mumbai","North Indian, Chinese, Mughlai, Seafood, Fast Food, Beverages, BBQ, Kebab",700
Woodstok,3.6,,"Ghatkopar East, Mumbai","North Indian, Chinese, Continental",600
Rasika Restaurant & Bar,3.5,8,"Ghatkopar East, Mumbai","Chinese, North Indian, Seafood, Kebab, Street Food, Beverages",700
Achija,3.5,,"Ghatkopar East, Mumbai","North Indian, South Indian, Chinese, Fast Food, Desserts, Beverages",750
Cafe Jethwa,3.5,,"Ghatkopar East, Mumbai","Fast Food, Chinese, Beverages",400
Jassi Veg Restaurant & Bar,3.5,,"Ghatkopar East, Mumbai","North Indian, Chinese, Fast Food, Street Food",750
Lalit Bar & Restaurant,3.5,,"Ghatkopar East, Mumbai","Chinese, Seafood, Mughlai, North Indian",600
Tea Trails Café,3.5,,"Ghatkopar East, Mumbai","Cafe, Desserts, Bubble Tea",700
Pokket Cafe,4.1,,"Ghatkopar West, Mumbai","Cafe, Fast Food",700
Shloka Dining Bar,4.1,,"Ghatkopar West, Mumbai","North Indian, Chinese","1,100"
Shuruwat- Veg Food Journey,4.1,,"Ghatkopar West, Mumbai","South Indian, Street Food, Chinese, Fast Food, North Indian",600
Hrezzo,4,,"Ghatkopar West, Mumbai","North Indian, Chinese, Continental, Beverages","1,000"
Meghdoot,4,,"Ghatkopar West, Mumbai","North Indian, Chinese, Continental","1,000"
Neo Welcome,4,,"Ghatkopar West, Mumbai","North Indian, South Indian, Chinese, Fast Food, Desserts",400
Khichdi The Global Food,3.8,,"Ghatkopar West, Mumbai","North Indian, Beverages, Biryani, Desserts, Rolls, South Indian",800
The Cake House,3.8,,"Ghatkopar West, Mumbai","Bakery, Desserts, Fast Food",250
Ashirwad Hotel & Caterers,3.7,,"Ghatkopar West, Mumbai","South Indian, Street Food, North Indian, Chinese, Maharashtrian, Fast Food, Mughlai, Beverages",500
Ayaan's Darbar,3.7,,"Ghatkopar West, Mumbai",Lebanese,250
Ninety Degrees,3.6,,"Ghatkopar West, Mumbai","Bakery, Desserts, Fast Food",300
Sizzling B9,3.6,,"Ghatkopar West, Mumbai",Chinese,250
A - 1 Ice Cream,3.5,,"Ghatkopar West, Mumbai","Desserts, Ice Cream",100
Cafe Greenleaf,3.5,,"Ghatkopar West, Mumbai","Chinese, North Indian, Fast Food, Desserts, Bakery, Beverages",300
Hotel Ballaleshwar,3.5,,"Ghatkopar West, Mumbai","North Indian, Chinese, Mughlai, Fast Food, South Indian",200
Jai Bhawani,3.5,,"Ghatkopar West, Mumbai","Sandwich, Chinese, Beverages, South Indian, Maharashtrian, North Indian, Desserts",400
Shahi Restaurant,3.5,,"Ghatkopar West, Mumbai","North Indian, Mughlai, Chinese",450
South Indian Dosa Corner,3.5,,"Ghatkopar West, Mumbai","South Indian, Fast Food",350
TKX - The Khana Xpress,3.5,,"Ghatkopar West, Mumbai","North Indian, Chinese, Fast Food, Beverages",600
Pritam's Global Cuisine,4.1,506,"Ghodbunder Road, Thane","North Indian, Biryani, Chinese, Desserts, Mughlai, Asian, Continental, European","1,600"
Paps Premium Lounge,4,243,"Ghodbunder Road, Thane","North Indian, Chinese, Mughlai, European, Biryani, Italian, Fast Food","1,800"
Backyard Cafe Restro Bar,3.9,150,"Ghodbunder Road, Thane","North Indian, Chinese, Thai, Pizza, Biryani",800
Urban Village,3.8,109,"Ghodbunder Road, Thane","North Indian, Chinese, Maharashtrian, Fast Food","2,000"
Double Vision,3.6,40,"Ghodbunder Road, Thane",Finger Food,"2,000"
Anando,3.8,,"Girgaon Chowpatty, Mumbai",Beverages,200
R Bhagat Tarrachand,4.2,,"Girgaum, Mumbai","North Indian, Chinese",750
Happy House Kitchen,4.1,,"Girgaum, Mumbai","Asian, North Indian, American, Street Food, Healthy Food, Italian","1,300"
Manohar Pav Bhaji,4.1,,"Girgaum, Mumbai",Street Food,300
Bharat Restaurant,4,,"Girgaum, Mumbai","North Indian, Mughlai, Chinese, Maharashtrian",250
Raja Refreshments,4,,"Girgaum, Mumbai","North Indian, Chinese, South Indian, Fast Food",500
Roti Rollers,4,,"Girgaum, Mumbai","North Indian, Chinese, Italian, Rajasthani, Street Food, Fast Food, Beverages",700
Husttle - Bar & Bistro,3.9,187,"Girgaum, Mumbai","Italian, Mexican, North Indian, Fast Food","1,500"
Cafe Breach Candy,3.9,,"Girgaum, Mumbai","Italian, Fast Food, Chinese, Beverages",550
Just Bite,3.9,,"Girgaum, Mumbai",Fast Food,300
Lemon N Spice,3.9,,"Girgaum, Mumbai","Fast Food, Chinese, Street Food",400
Lokoman,3.9,,"Girgaum, Mumbai","Cafe, Desserts, Beverages",500
Nityanand Fast Food,3.9,,"Girgaum, Mumbai","South Indian, Fast Food, North Indian, Chinese, Beverages",350
Prakash Dugdha Mandir,3.9,,"Girgaum, Mumbai","Mithai, Street Food, Desserts",300
Desai Bhaishankar Gaurishankar,3.8,,"Girgaum, Mumbai","Mithai, Street Food, Desserts",400
Dhamaal The Desi Kitchen,3.8,,"Girgaum, Mumbai","North Indian, Maharashtrian, Chinese, Fast Food, Desserts, Beverages","1,500"
Hotel Satkar,3.8,,"Girgaum, Mumbai","Chinese, North Indian, Malwani",700
M's Hungers,3.8,,"Girgaum, Mumbai","Fast Food, Sandwich, Italian, Pizza, Beverages",400
New Shanti Bhuvan,3.8,,"Girgaum, Mumbai","Chinese, South Indian, North Indian, Maharashtrian, Fast Food, Desserts, Beverages",500
Cafe Dela Paix,3.7,,"Girgaum, Mumbai",Parsi,400
Girgaon4,3.7,,"Girgaum, Mumbai","North Indian, Fast Food","1,200"
Golden Wheel,3.7,,"Girgaum, Mumbai","North Indian, Chinese","1,100"
Hotel Gokul,3.7,,"Girgaum, Mumbai","Chinese, North Indian, South Indian, Fast Food, Street Food, Beverages",500
I Sukhani Papad,3.7,,"Girgaum, Mumbai","Street Food, Gujarati",200
Kamath's Govindashram,3.7,,"Girgaum, Mumbai","North Indian, Chinese, Biryani, Fast Food, Beverages, Desserts, Street Food",400
Mohan Sandwich Center,3.7,,"Girgaum, Mumbai",Sandwich,250
Sarvaya,3.7,,"Girgaum, Mumbai","South Indian, North Indian, Chinese, Desserts, Beverages",700
Shree Ram Boarding House,3.7,,"Girgaum, Mumbai","Maharashtrian, Malwani",500
Special Tea House,3.7,,"Girgaum, Mumbai","South Indian, North Indian, Street Food, Fast Food, Chinese, Beverages",350
Sujata Uphar Griha,3.7,,"Girgaum, Mumbai","Maharashtrian, Fast Food, Street Food, Desserts, Beverages",350
T3 The Tasty Treat,3.7,,"Girgaum, Mumbai","South Indian, Italian, Fast Food, Sandwich, Pizza, Rolls, Beverages",400
Vanakkam Vihar,3.7,,"Girgaum, Mumbai","South Indian, North Indian",600
Chandu Halwai,3.6,,"Girgaum, Mumbai","Mithai, Street Food, Desserts",500
Cheesy Bites,3.6,,"Girgaum, Mumbai","Italian, Pizza, Pasta, Fast Food, Sandwich, Rolls, Street Food",300
Delhi Rasoi,3.6,,"Girgaum, Mumbai",North Indian,400
Jalsa Hotel,3.6,,"Girgaum, Mumbai",Maharashtrian,300
Shratika Lunch Home,3.6,,"Girgaum, Mumbai","North Indian, Seafood, Mughlai",300
Paramount Restaurant,3.5,,"Girgaum, Mumbai","North Indian, Fast Food, Chinese",500
Patel,3.5,,"Girgaum, Mumbai","North Indian, Chinese, South Indian, Fast Food, Sandwich, Desserts, Ice Cream, Beverages",300
Voice Of India Restaurant,3.5,,"Girgaum, Mumbai","Chinese, North Indian, Mughlai, Maharashtrian",500
1522 - Bar And Kitchen,4.3,462,"Goldfinch Hotel, Mahakali, Mumbai","Chinese, Continental, European, North Indian, Desserts","1,500"
Esora,4.3,791,"Goregaon East, Mumbai","Asian, Continental","2,100"
TED Resto Bar,4.1,558,"Goregaon East, Mumbai","Fast Food, Finger Food, Chinese, North Indian","1,500"
Brats Bar And Lounge,4.1,411,"Goregaon East, Mumbai","Finger Food, Pizza, Italian","1,200"
HOD - Kitchen & Bar,4.1,360,"Goregaon East, Mumbai","North Indian, Italian, Continental, Thai, Chinese, Mughlai","1,400"
On Toes Pub,4,472,"Goregaon West, Mumbai","North Indian, Continental, Seafood, Fast Food","1,400"
Celini - Grand Hyatt Mumbai Hotel & Residences,4.4,,"Grand Hyatt Mumbai & Residences, Santacruz East, Mumbai","Italian, Desserts","5,000"
Fifty Five East - Grand Hyatt Mumbai Hotel & Residences,4.4,,"Grand Hyatt Mumbai & Residences, Santacruz East, Mumbai","Thai, Lebanese, Japanese, Asian, Chinese, North Indian, Mughlai","4,500"
The Gourmet Store- Grand Hyatt Mumbai Hotel & Residences,3.9,,"Grand Hyatt Mumbai & Residences, Santacruz East, Mumbai","Bakery, Cafe, Continental, Desserts","1,500"
The Bar - Grand Hyatt Mumbai Hotel & Residences,3.6,,"Grand Hyatt Mumbai & Residences, Santacruz East, Mumbai",Finger Food,"4,000"
B Merwan & Co,4.9,,"Grant Road, Mumbai","Bakery, Fast Food",100
Soam,4.4,,"Grant Road, Mumbai","Gujarati, Street Food",800
Sri Krishna,4.1,,"Grant Road, Mumbai","South Indian, Chinese, North Indian, Fast Food, Street Food",500
Hindu Vishranti Graha,4,,"Grant Road, Mumbai","North Indian, South Indian, Street Food, Sandwich",500
Mini Delhi,3.9,,"Grant Road, Mumbai","North Indian, Chinese, Mughlai, Beverages, Fast Food",700
New Heros,3.9,,"Grant Road, Mumbai","North Indian, Chinese, Mughlai",850
Pejas,3.8,,"Grant Road, Mumbai","North Indian, Chinese, South Indian, Fast Food, Street Food, Beverages",500
Ghasitaram Halwai,3.7,,"Grant Road, Mumbai","Mithai, Street Food, North Indian",350
Happiness Deli,3.7,,"Grant Road, Mumbai","Bakery, Desserts",400
The Beast Pizza,3.7,,"Grant Road, Mumbai","Pizza, Fast Food, Beverages, Desserts",500
Zaika Darbar,3.7,,"Grant Road, Mumbai","North Indian, Mughlai, Chinese",600
Amul Ice Cream Parlour,3.6,,"Grant Road, Mumbai","Ice Cream, Desserts",200
New India Sweet Mart,3.6,,"Grant Road, Mumbai","Mithai, Street Food",200
Prisim Health Food,3.6,,"Grant Road, Mumbai","Healthy Food, Juices, Salad",450
Shaan Restaurant,3.6,,"Grant Road, Mumbai","Chinese, North Indian",350
Della Fudge & Chikki Store,3.5,,"Grant Road, Mumbai",Desserts,350
Hotel Shabnam,3.5,,"Grant Road, Mumbai","North Indian, Mughlai, Chinese",500
Drinx Exchange,4,415,"Growel's 101 Mall, Kandivali East, Mumbai","American, Chinese, Mexican","1,500"
Foo,4.6,,"High Street Phoenix, Lower Parel, Mumbai","Sushi, Asian, Desserts, Beverages","2,200"
SodaBottleOpenerWala,4.4,"1,731","High Street Phoenix, Lower Parel, Mumbai","Parsi, North Indian, Rolls, Street Food, Desserts, Beverages","1,300"
Shizusan,4.4,,"High Street Phoenix, Lower Parel, Mumbai","Japanese, Chinese, Asian, Thai, Beverages","2,200"
Cafe Delhi Heights,4.2,,"High Street Phoenix, Lower Parel, Mumbai","Continental, Italian, Seafood, North Indian, Beverages","2,000"
Gajalee,4.2,,"High Street Phoenix, Lower Parel, Mumbai","Malwani, Seafood, Maharashtrian, North Indian","1,500"
Jamie's Pizzeria By Jamie Oliver,4.2,,"High Street Phoenix, Lower Parel, Mumbai","Pizza, Italian","1,000"
Mad Over Donuts,4.1,,"High Street Phoenix, Lower Parel, Mumbai","Desserts, Beverages",450
The Coffee Bean & Tea Leaf,4.1,,"High Street Phoenix, Lower Parel, Mumbai","Cafe, Desserts, Sandwich, Beverages",600
Tryst,4.1,,"High Street Phoenix, Lower Parel, Mumbai","Italian, Continental, Fast Food","2,500"
All Good Deli,4,,"High Street Phoenix, Lower Parel, Mumbai","European, Healthy Food, Italian, American, Desserts, Salad","1,200"
Wake Cup Coffee & Eatery,3.7,,"High Street Phoenix, Lower Parel, Mumbai",Cafe,750
Cream Centre,3.6,,"High Street Phoenix, Lower Parel, Mumbai","North Indian, Chinese, Italian, Street Food, Fast Food, Ice Cream, Beverages","1,600"
Imbiss,4.8,,"Hill Road, Bandra West, Mumbai","German, European, Continental, Burger","1,000"
Frisbees,4.5,,"Hill Road, Bandra West, Mumbai","Burger, Fast Food, Desserts, Beverages",750
Mamagoto,4.4,,"Hill Road, Bandra West, Mumbai","Asian, Chinese, Sushi, Thai, Beverages","1,400"
Jamjar Diner,4.3,"1,778","Hill Road, Bandra West, Mumbai","Italian, Mexican, Healthy Food, Beverages","1,400"
Earth Cafe @ Waterfield,4.3,,"Hill Road, Bandra West, Mumbai","Cafe, Healthy Food, Italian, Continental, Beverages, Desserts","1,000"
House Of Mandarin,4.3,,"Hill Road, Bandra West, Mumbai","Chinese, Asian, Japanese, Seafood, Desserts","2,100"
Oheka,4.3,,"Hill Road, Bandra West, Mumbai","North Indian, Asian, Italian, Mexican","1,600"
Ray's Cafe & Pizzeria,4.3,,"Hill Road, Bandra West, Mumbai","Italian, Pizza, Fast Food, Beverages","1,600"
Mia Cuccinna,4.2,758,"Hill Road, Bandra West, Mumbai","Cafe, Continental, European, Italian, Panini, Pizza, Salad, Desserts","2,000"
Seefah,4.2,371,"Hill Road, Bandra West, Mumbai","Japanese, Thai, Sushi, Asian, Beverages","1,800"
Cafe Andora,4.2,,"Hill Road, Bandra West, Mumbai",Fast Food,200
THE THA'L CO,4.2,,"Hill Road, Bandra West, Mumbai","Bohri, North Indian, Fast Food",800
Tossin Pizza,4.2,,"Hill Road, Bandra West, Mumbai","Pizza, Italian, Pasta, Beverages",600
Dr. Bubbles Gold,4.1,,"Hill Road, Bandra West, Mumbai","Bubble Tea, Beverages, Desserts",350
Gokul Refreshment,4.1,,"Hill Road, Bandra West, Mumbai","North Indian, South Indian, Chinese, Street Food, Fast Food, Pizza, Beverages, Ice Cream",550
Jim - Me's Kitchen,4.1,,"Hill Road, Bandra West, Mumbai","Seafood, Chinese","1,000"
Myfroyoland,4.1,,"Hill Road, Bandra West, Mumbai","Frozen Yogurt, Desserts, Ice Cream",300
Amrut Sagar Fast Food,4,,"Hill Road, Bandra West, Mumbai","Fast Food, South Indian, Chinese, Street Food, Juices, Beverages",650
Birdsong - The Organic Cafe,4,,"Hill Road, Bandra West, Mumbai","Cafe, Healthy Food, Beverages, Salad, Continental, Desserts","1,600"
Karachi Sweets,4,,"Hill Road, Bandra West, Mumbai","Mithai, Street Food",350
Mama Mia!,4,,"Hill Road, Bandra West, Mumbai","Pizza, Chinese, Healthy Food, Fast Food, Burger, Salad",700
Cafe Condi,3.9,,"Hill Road, Bandra West, Mumbai","Continental, French, Desserts, Beverages","1,000"
Mavs Cakes & Bakes,3.9,,"Hill Road, Bandra West, Mumbai","Bakery, Italian, Fast Food, Desserts, Beverages",500
Monèr - Bistro & Dessert Bar,3.9,,"Hill Road, Bandra West, Mumbai","Continental, Fast Food, Desserts",600
Shaku Maku,3.9,,"Hill Road, Bandra West, Mumbai","Lebanese, Healthy Food, Wraps, Arabian",700
Wanton House,3.9,,"Hill Road, Bandra West, Mumbai","Chinese, Thai, Fast Food, Beverages",800
Yacht,3.9,,"Hill Road, Bandra West, Mumbai","North Indian, Chinese, Seafood",900
Yoko Sizzlers,3.9,,"Hill Road, Bandra West, Mumbai","Fast Food, Chinese, Seafood, North Indian, Desserts, Beverages","1,900"
Balaji Restaurant,3.8,,"Hill Road, Bandra West, Mumbai","South Indian, North Indian, Chinese, Street Food, Fast Food, Ice Cream, Beverages",550
Dimsum (Momo) Express,3.8,,"Hill Road, Bandra West, Mumbai","Momos, Chinese, Tibetan, Asian",500
Easy Cappuccino,3.8,,"Hill Road, Bandra West, Mumbai","Coffee, Beverages, Fast Food, Desserts",450
Elco,3.8,,"Hill Road, Bandra West, Mumbai","Street Food, South Indian, Chinese, Desserts, Beverages",800
La Farina Cafe,3.8,,"Hill Road, Bandra West, Mumbai","Pizza, Italian, Sandwich, Burger, Fast Food, Salad, Beverages",600
Royal China,3.8,,"Hill Road, Bandra West, Mumbai","Chinese, Asian, Cantonese, Seafood, Desserts","2,400"
The American Express Bakery,3.8,,"Hill Road, Bandra West, Mumbai","Bakery, Fast Food",250
Izzat Ka Falooda,3.7,,"Hill Road, Bandra West, Mumbai","Ice Cream, Beverages",300
The Bandra Restaurant,3.7,,"Hill Road, Bandra West, Mumbai","Chinese, Fast Food, Burger, Sandwich, Pasta, Momos, Beverages",600
Old Street Cafe & Bar,3.6,,"Hill Road, Bandra West, Mumbai","Chinese, Salad, South Indian, Fast Food, North Indian",500
Waffle Cafe Club,3.6,,"Hill Road, Bandra West, Mumbai","Bakery, Beverages, Desserts",600
Educated Manchurian,3.5,,"Hill Road, Bandra West, Mumbai",Chinese,350
Imperial China - Hilton Mumbai International Airport,4.1,,"Hilton Mumbai International Airport, Chakala, Mumbai",Chinese,"3,500"
The Brasserie - Hilton Mumbai International Airport,4,,"Hilton Mumbai International Airport, Chakala, Mumbai","Fast Food, Salad, North Indian, Mughlai, Chinese","4,500"
The Brasserie Grill - Hilton Mumbai International Airport,3.5,,"Hilton Mumbai International Airport, Chakala, Mumbai",European,"1,200"
Agent Jack's Bar,4.2,711,"Hiranandani Estate, Thane West, Thane","Continental, Chinese, North Indian, Italian","1,800"
Intermezze - Brewery & Gastropub,3.8,250,"Hiranandani Estate, Thane West, Thane","North Indian, Continental, Fast Food","1,500"
Sandy's Bar Library,3.7,116,"Hiranandani Estate, Thane West, Thane","Finger Food, American, Continental","1,000"
Trsna,3.6,209,"Hiranandani Estate, Thane West, Thane","North Indian, Seafood, Chinese, Mughlai","1,300"
Saptami - Holiday Inn,4.3,,"Holiday Inn, Sakinaka, Mumbai","Continental, North Indian, Italian, Fast Food, Chinese, Beverages","2,000"
72 - Holiday Inn,4,,"Holiday Inn, Sakinaka, Mumbai",Finger Food,"2,500"
Sapphire - The Emerald Hotel,4,,"Hotel Emerald, Juhu, Mumbai","Continental, Chinese, North Indian, Desserts","1,000"
The Butler And The Bayleaf,4.3,370,"Hotel King's International, Juhu, Mumbai","North Indian, Awadhi, Kebab, Lucknowi","2,000"
The Butler And The Bayleaf,4.3,,"Hotel King's International, Juhu, Mumbai","North Indian, Awadhi, Kebab, Lucknowi","2,000"
VICE-Global Tapas Bar,3.8,52,"Hotel King's International, Juhu, Mumbai","North Indian, Asian, European","1,800"
Baisakhi - Hotel King's International,3.5,,"Hotel King's International, Juhu, Mumbai",North Indian,"1,300"
Sudama - All Veg,4.4,,"Hotel Krishna Palace, Grant Road, Mumbai","North Indian, South Indian, Asian, Continental, Gujarati, Desserts, Beverages","1,000"
Flute 24 Hrs,4.3,,"Hotel Krishna Palace, Grant Road, Mumbai","North Indian, Chinese, Italian, Biryani","1,600"
Baroke,4,,"Hotel Krishna Palace, Grant Road, Mumbai","Continental, Lebanese, North Indian","2,300"
House Of Asia - Hotel Mirador,4,,"Hotel Mirador, Andheri East, Mumbai","Chinese, Japanese, North Indian","2,000"
Magnolia - Hotel Mirage,3.5,,"Hotel Mirage, Marol, Mumbai","North Indian, Continental","1,500"
Sheetal Bukhara,4.1,,"Hotel Royal Inn, Khar, Mumbai","Chinese, North Indian, Mughlai, Continental, Desserts","1,200"
Orchids,4.4,,"Hotel Royal Orchid, Chembur, Mumbai","North Indian, Asian, Mughlai, Maharashtrian, Fast Food, Desserts","1,500"
Wild Orchids,4.1,,"Hotel Royal Orchid, Chembur, Mumbai","Chinese, North Indian, Italian, Seafood, Mughlai, Desserts, Japanese","2,000"
Rivaaz,3.8,,"Hotel Sahil, Mumbai Central, Mumbai","North Indian, Mughlai, Awadhi, Malwani, Fast Food","1,100"
Sydewok,3.6,,"Hotel Suba Galaxy, Near Andheri East Station, Mumbai","North Indian, Mughlai, Continental, Chinese, Fast Food, Beverages","1,000"
The Roof Top - Yogi Executive,4.1,"1,098","Hotel Yogi Executive, Vashi, Navi Mumbai","North Indian, Continental, Chinese","2,100"
Curry N Spice- Yogi Executive,3.8,150,"Hotel Yogi Executive, Vashi, Navi Mumbai","North Indian, Chinese, Thai, Italian","1,500"
Flavors,4.1,459,"Hotel Yogi Metropolitan, Sanpada, Navi Mumbai","North Indian, Continental, Asian","1,500"
Glasshouse - Hyatt Regency Mumbai,4.2,,"Hyatt Regency Mumbai, Andheri, Mumbai","Continental, North Indian, Asian","4,500"
STAX Bar - Hyatt Regency Mumbai,3.8,53,"Hyatt Regency Mumbai, Andheri, Mumbai",Finger Food,"3,500"
The Bakery - Hyatt Regency,3.5,,"Hyatt Regency Mumbai, Andheri, Mumbai","Bakery, Desserts, Fast Food, Beverages","1,000"
Melting Pot,4.1,561,"Infiniti Mall, Malad West, Mumbai","North Indian, Mughlai, Chinese, Continental","2,300"
Tight,4.1,"1,949","Inorbit Mall, Vashi, Navi Mumbai","Finger Food, Chinese, Fast Food, Beverages","2,000"
Kebabs & Kurries - ITC Grand Central,4.6,,"ITC Grand Central, Parel, Mumbai","North Indian, Kebab, Mughlai, Lucknowi","3,000"
Hornbys Pavilion - ITC Grand Central,4.3,,"ITC Grand Central, Parel, Mumbai","North Indian, Chinese, Italian, Continental","2,000"
Shanghai Club - ITC Grand Central,4,,"ITC Grand Central, Parel, Mumbai",Chinese,"3,000"
Dublin The Irish Bar - ITC Grand Central,3.8,98,"ITC Grand Central, Parel, Mumbai",Finger Food,"3,750"
Fabelle Chocolates - ITC Grand Central,3.6,,"ITC Grand Central, Parel, Mumbai","Desserts, Bakery","1,250"
Fredericks Lounge - ITC Grand Central,3.6,,"ITC Grand Central, Parel, Mumbai",Finger Food,"3,000"
Dum Pukht - ITC Maratha,4.6,,"ITC Maratha, Chakala, Mumbai","North Indian, Lucknowi, Awadhi, Kebab, Biryani, Seafood, Mughlai","5,000"
Peshwa Pavilion - ITC Maratha,4.3,,"ITC Maratha, Chakala, Mumbai","North Indian, European, Continental","5,000"
Pan Asian - ITC Maratha,4,,"ITC Maratha, Chakala, Mumbai","Thai, Chinese, Japanese","5,000"
Bombay High - ITC Maratha,3.6,66,"ITC Maratha, Chakala, Mumbai","Finger Food, Pizza, Bar Food, Mughlai, Fast Food","5,000"
The Sancha House,3.5,,"Jogeshwari, Mumbai","Ice Cream, Desserts",150
Shree Siddhivinayak Fast Food,4.1,,"Juhu Chowpatty, Juhu, Mumbai","North Indian, Chinese, Malwani, Mughlai, Biryani",450
Melting Pot,4.4,,"Juhu Residency Boutique Hotel, Juhu, Mumbai","North Indian, Mughlai, Chinese, Seafood","2,200"
Dakshinayan,4.6,,"Juhu, Mumbai",South Indian,600
Govinda's Restaurant,4.5,,"Juhu, Mumbai","North Indian, South Indian",500
Prithvi Cafe,4.5,,"Juhu, Mumbai","North Indian, Italian, Rolls, Sandwich, Street Food, Desserts, Beverages",300
Facing East,4.3,,"Juhu, Mumbai","Chinese, Asian, Seafood, Thai, Beverages",800
Maharaja Bhog,4.3,,"Juhu, Mumbai","North Indian, Gujarati, Rajasthani","1,200"
